"","x"
"57","Hey dziewczyny, znacie Panów? Kto wygra pojedynek zale¿y tylko od WAS, jak na razie prowadzi Damon! Nale¿y mu siê? Czy mo¿e powinien wygraæ jego przeciwnik? Wszystko zale¿y od WAS :)  http://www.zliscia.pl/pojedynek.php"
"58","no cóŸ, ani jeden ani drugi ;P"
"59","czemu ju¿ nie dodajecie dr. House ? "
"60","skoñczy³o siê na 8sezonie 8odcinek, a dalej?"
"61","CLICK HERE TO WATCH IT: http://tinyurl.com/justinlINq4"
"62","Kiedy bêd¹ nowe: Zakazane Imperium, Californication, Dr House...czekam czekam i czekam a tu nic "
"63","CLICK HERE TO WATCH IT: http://tinyurl.com/justinOmKoE"
"64","To samo dzieje siê z odcinkami The Vampire Diaries :("
"65","ja ju¿ czekam drugi tydzieñ na napisy do serialu ,,Revenge'' i nic !!"
"66","17 stycznia wracaj¹."
"67","Znów zamiast strony z serialami mam stronê domeny. Czemu tak siê dzieje mo¿e ktoœ mi poradziæ co zrobiæ ¿eby tak siê nie dzia³o?"
"68","te¿ czekam na revenge , nie po raz pierwszy tak d³ugo siê nie pojawiaj¹ .. :O"
"69","mo¿e dlatego, ¿e w sieci nie ma napisów?"
"70","no tak :D ale jakoœ np. do vampire diaries s¹ nie wiem.. teraz nawet po jednym dniu a do revenge trzeba czekaæ ³uhuhu.. ;)"
"71","A móg³bym prosiæ o adres maila na jaki mam wys³aæ screena?"
"72","Dzienniki wampirów maj¹ du¿e grono odbiorców chyba ;P a revenge mo¿e ma³e i dlatego nikt siê nie œpieszy z napisami? Ja na moj¹ \Plotkarê\"". \""gotowe na wszystko\"" czy \""CSI\"" te¿ zazwyczaj muszê czekaæ dzieñ-dwa"""
"73","noo a ja na revenge czekam ko³o tygodnia :D dziœ zosta³y dodane napisy , po 1,5 tygodnia. zobaczymy , ile bêdê czekaæ na nastepne( odcinek by³ w œrode ) . mo¿e i ma³e , ale i tak to dobry serial . :D"
"74","http://img26.imageshack.us/img26/3992/nowyobrazbitowyc.png a o to i link. Ku mojej radoœci stronka wreszcie odpali³a ale takie \coœ\"" wyskakuje mi doœæ czêsto."""
"75","mo¿e wrzucone na serwer trac¹ aktualnoœæ po pewnym czasie?"
"76","Czemu napisy do laying game odc.12 nie s¹ kompletne?"
"77","tak brakuje doœc du¿o kwestii"
"78","bêd¹ nowe napisy?"
"79","Ok dziêki"
"80","mam to samo, nie da sie wgl ogl¹daæ czasami ;/ ci¹gle sie zacina i wyskakuj¹ jakieœ reklamy..."
"81","co z nowymi odcinkami Top Gear? "
"82","2 dni!"
"83","juhuu ;D"
"84","Witam czy moglibyscie naprawic 8 ocinek 2 sezonu Strike Back bo jest jakas zla wersja ktora trwa tylko 18min?"
"85","ciê¿ko by³oby dodawaæ coœ czego nie ma.. odcinek 9 bêdzie puszczany 23 stycznia."
"86","mnie juz wszêdzie sie ci¹gle zacina... Co siê dzieje, bo nie mo¿na jednego odcinka jakiegokolwiek serialu pogl¹dac... ;/."
"87","czy tylko mi ? czy wy te¿ nie mo¿ecie wejœæ na iitv.info pisze mi \Ups! Przegl¹darka Google Chrome nie mog³a siê po³¹czyæ ze stron¹ iitv.info\"" na operze      sprawdza³em i to samo..."""
"88","Witam Co siê dzieje  ze stron¹? Nie mogê jej uruchomiæ d³ugo siê wyczytuje a potem po³¹czenie zostaje zresetowane i wyœwietla siê b³¹d wczytywania strony.RATUNKU:)"
"89","To samo :( œwiat siê koñczy!"
"90","Wasza strona nie dzia³a ;("
"91","to samo  mam"
"92","mo¿e aktualizuj¹ :) np. dodaj¹ Californication sezon 5 :)"
"93","jejkuuuu przerwa³o mi serial ! ;( szybko szybko o ile to mo¿liwe! :)"
"94","nie ma sie co piekliæ californication narazie bez t³umaczenia dzisiaj dodane z 2 strony ciekawe co to za problemy maj¹"
"95","czy to siê naprawi?"
"96","no i gotowe na wszystko te¿ dodane tak¿e narazie bez napisów w jêzyku polskim no i do niektórych - nie ma sensu pytaæ kiedy dodany zostanie nowey odcinek przerwy swiateczne itp wiele seriali nie nadawa³o swoich seriali w tym czasie a informacje mo¿na znale¿æ na prawie ka¿dej nawet nieoficjalnej stronie serialu i sprawdzanie tego nie nale¿y do kompetencji adminów iitv pozdrawiam ci¹gle nie dzia³a;/"
"97","\Nied³ugo\"" to pojêcie wzglêdne ;) Tez czekam ;)"""
"98","serce krwawi, przecie¿ nowy Shameless by³ ;)"
"99","ja te¿ nie moge otworzyæ :(((("
"100","Czy moglibyœcie podaæ przybli¿ony czas naprawy? Jeœli jesteœcie wstanie to zrobiæ oczywiœcie."
"101","ej no co to ma byæ...."
"102","Dziala :)"
"103","ju¿ dzia³a, fajnie."
"104","zwyciêstwo!"
"105","no to by by³o na tyle z nauki... "
"106","myœla³am ¿e odcinek Plotkary zosta³ uaktywniony i a¿ stronê od ludzi zatka³o :)"
"107","dok³adnie!"
"108","najnowszy odcinek Gotowych na wszystko to tak naprawde NCIS, ktoœ Ÿle uploadowa³ czy o co chodzi?"
"109","najnowszy odcinek gotowych na wszsytko to odcinek NCIS najnowszy - czy ktoœ Ÿle uploadowa³ czy wam siê w bazie coœ poiesza³o? :> "
"110","W jakie dni s¹ wstawiane nowe odcinki Pretty Little Liars, a kiedy z napisami? c:"
"111","we wtorek"
"112","wieczorem i czasem we wtorek s¹ napisy a tak to w œrode"
"113","no wkrad³ sie b³¹d z gotowymi jednak wersje bez napisów i tak nie maj¹ znaczenia bo nie dorzuca sie samych napisów tylko ca³y ju¿ zrobiony odcinek tak¿e i tak bêdzie to poprawione chyba zamieszanie tam maj¹;d"
"114","no zamieni¹ pewnie, ale ja ju¿ chcia³am oberzeæ, bez napisó :D"
"115","znowu problemy ;/"
"116","Jest 22, strona dalej nie dziala."
"117","kiedy strona bedzie naprawiona?"
"118","U mnie te¿ nie dzia³a"
"119","Jak dobrze wiem to zaczyna siê nowy sezon Top Gear, a wydanie specjalne ju¿ by³o, wiêc jakbyœcie mogli poszukaæ i wrzuciæ, by³bym wdziêczny :) I coœ dalej nie dzia³a stronka ;/ "
"120","jest zbyt wielu chetnych na ogladanie... serwer jest przeci¹zony od co..."
"121","kiedy naprawicie stronkê? "
"122","Mi przez jak¹œ godzinê chodzi³o, a teraz znowu pad³o ;/"
"123","znowu ! "
"124","nadal nie dzia³a ;/"
"125","nie dzia³a...wci¹¿"
"126","nie dziala :("
"127","mi te¿ przez godzinê dzia³a³o i znowu pad³o"
"128","Mi tak¿e nie dzia³a :D"
"129","RATUNKU,NAPRAWDÊ!!!Wieczór i nie dzia³a:("
"130","naszykowa³am sobie smako³yki, zasiad³am przed kompem, a tu stronka nie dzia³a :/"
"131","dziala"
"132",":)"
"133","JEST!! Dzia³a :D"
"134","super :)"
"135","Dzia³a:)"
"136","kiedy mo¿na siê spodziewaæ najnowszego odcinka plotkary?? :D jest szansa jeszcze w nocy czy dopiero jutro??"
"137","nie dzia³a :/"
"138","nie dziala ;/"
"139","oddawaæ moje seriale!"
"140",":("
"141","znowu jest coœ nie tak ;("
"142","no kurcze kiedy strona bêdzie dzia³a³a ? czekam na odpowiedŸ "
"143","Po³¹czenie z serwerem iitv.info zosta³o przerwane ;/"
"144","kiedy zadzia³a ?!?"
"145","zapomnia³am - ró¿nica czasu :/ niech to szlag :("
"146","o boze co sie stalo!!!!???czemu strona nie dziala??i co ja mam teraz w nocy robic??"
"147","co znowu nie dziala szok co sie dzis dzieje?? dajcie znac bo nie wiadomo czy czekac czy co !!!"
"148","mam to samo! w œrodku odcinka mi przerwa³o ."
"149","WTF"
"150","cosie cosie cosie dzieje? cosie dzieje "
"151","nie dzia³a :(:::"
"152","No tak to trzeba iœæ spaæ ::D:D:D:D"
"153","Nie lubiê tego"
"154","u mnie tez nie dziala"
"155","nie dzia³a : O JA CHCÊ SKINS!!!"
"156","czemu nie dzia³acie???"
"157","ej no"
"158","Ju¿  dzia³a :)"
"159","Nasz serwer i strona ruszy³y nad ranem. Z powodów technicznych nie wyœlemy wam dzisiaj powiadomieñ o nowych odcinkach a pojawi³o siê m.in. oczekiwane wznowienie Gossip Girl i wyciek nowego odcinka Skins. Ruszy³a te¿ emisja nowego serialu JJ Abramsa - Alcatraz. Od kilku dni (nie wiemy kiedy problem siê pojawi³) nie dochodz¹ maile na pocztê onet.pl. Najprawdopodobniej bêdziemy musieli na sta³e zrezygnowaæ z wysy³aniem powiadomieñ na pocztê onetu."
"160","Gossip <3"
"161","super..."
"162","a co z nowymi odcinkami Housa?"
"163","kolejny odcinek House'a 23.01 w USA, wiêc pewnie 24.01 powinien byæ ju¿ dostêpny.."
"164","Do³¹czam siê do pytania kolegi wy¿ej ;] I jeszcze trochê inne pytanie: wiadomo kiedy bêdzie mo¿na liczyæ na pojawianie siê tego nowego serialu \Kontra: Operacja Œwit\"", którego tak reklamuj¹ na HBO?? ;))"""
"165","faktycznie coœ jest nie tak z powiadomieniami na poczta onetu. Do mnie ostatni mail przyszed³ 13 stycznia"
"166","http://www.facebook.com/events/321902131177951/ link do eventu.. chodzi o pomoc (1 % podatku) dla mojego chorego Synka Jasia. Proszê choæ spojrzeæ... szukam pomocy bo naprawdê Jasiek bardzo jej potrzebuje. Pozdrawiam. Anna Wróbel"
"167","pozdrawiam wszystkich fanów BLACK MIRROR"
"168","Mo¿e u¿ytkownicy Onetu oznaczyli powiadomienia jako spam, a przyg³upi system poczty zastosowa³ to dla wszystkich?"
"169","Nic do spamu nie trafi³o"
"170","Hej. Moje takie pytanko a propozycja zarazem - mo¿e da³oby rade wtopiæ serial Dark Shadows do Waszej listy???? :-) jest jakaœ szansa?? Pozdrawiam."
"171","Ja mam na tlenie, dzisiaj powiadomienie o Gossip mi dosz³o ;)"
"172","iiTV.info - najlepsze seriale online, faktycznie, nie pomyœla³em, ¿eby sprawdziæ oryginalny tytu³ ;) Dziêki wielkie! ;D"
"173","Kiedy mo¿na bêdzie zobaczyæ nowe odcinki Dr Housa?"
"174","Skins rulez ..."
"175","Nie sugerowa³em, ¿e wysy³acie spam, lecz ¿e filtry Onetu s¹ za bardzo podatne na sugestie u¿ytkowników."
"176","iiTV.info - najlepsze seriale online - co do problemu z poczt¹ sprawdzæie czy przy wysy³ce nie dostajecie zwrotek z SPF fail. Byæ mo¿e wysy³acie maile ze z³ym nag³ówkiem FROM, wiêc maile nie dochodz¹. Niestety SPF, mimo ¿e ma plusy to bardzo czêsto równie¿ zawodzi."
"177","A kiedy mo¿na siê spodziewaæ nowego odcinka 90210?"
"178","mog³abym prosic o serial forbrydelsen z napisami pl lub polskim lektorem?"
"179","kiedy bedzie skins z napisami, bo nie chce mi sie sluchac jak be³kocz¹ :("
"180","Witam, od 2 dni reklama gry Travian wlacza mi sie blokujac skutecznie film i cofajac buffor. walcze z nia na wszystkie zane mi sposoby, ale nic nie moge obejrzec. Moze ktos z Was wie jak sie jej skutecznie pozbyc. Plissssss"
"181","Znów jest coœ nie tak !!! Nie mo¿na otworzyæ strony z ¿adnej przegl¹darki... :/ "
"182","strona nie dzia³a :("
"183","no w³aœnie.. :/"
"184","chocia¿ w sumie pewnie Wam jeszcze za to podziêkujê za wzglêdu na jutrzejsze zaliczenie! :)"
"185","Coœ ostatnio Ÿle siê dzieje z nasz¹ ulubion¹ stronk¹ z serialami:( U mnie tez nie dzia³a znów..."
"186","Spróbuj skorzystaæ z innej przegl¹darki albo u¿yj adblock'a"
"187","no wlasnie, nie dziala......"
"188","znów nie dzia³acie... co siê sypie?"
"189","te¿ bym chcia³a wiedzieæ..."
"190","no w³aœnie :("
"191","Problemów technicznych niestety ci¹g dalszy. Mamy sta³y kontakt z serwerowni¹ i wiemy, ¿e ekipa na miejscu stara siê naprawiæ maszynê - s¹ jakieœ problemy sprzêtowe."
"192","aaa! znowu siê zaciê³o! Ludzie zróbcie coœ! "
"193","bubu :("
"194","Umieram bez Was:)"
"195","mo¿e za ma³y m³otek wziêli?"
"196","no nieee, akurat w porze kolacyjnej. A kapitan Malcolm Reynolds na pewno czeka, az obejrze kolejny odcinek z jego udzia³em."
"197","nie lubiê tego!!! Wczoraj uda³o mi siê po kwadransie dostaæ, a dziœ... :("
"198","Bogu dziêki, ju¿ myœla³am, ¿e to coœ z moim internetem"
"199","chwala bogu ze obejrzalam wczesniej nowy odcinek Plotkary:))))"
"200","Gossip Girl ;("
"201","³eee a sherlock na mnie czeka :("
"202",";-("
"203","to dlatego strona nie dzia³a :("
"204","szybko bo Dragon Ball sie sam nie obejrzy :<"
"205",":( nieeeeee plotkara"
"206","a na mnie Wampirki moje czekaj¹ :)"
"207","dobrze ¿e daliœcie info na ten temat"
"208","zaraz chyba bêdê p³akaæ.... :(((((("
"209","o nieeeee! ;["
"210","no dok³adnie , po prostu nie mam co robiæ bez was . <3"
"211","powodzenia, trzymam kciuki i czekam......."
"212","dzieki za powiadomienie. zycze owocnej pracy :)"
"213","a wlasnie mialam wyjasnic, czy Chuck naprawde umarl!"
"214","w³aœnie....:)"
"215","napraaaawcie to proszê :D"
"216","solidna firma z was!"
"217","Spoko! Trzymam za was kciuki :)"
"218","A wiêc muszê wróciæ do ... nauki? :("
"219","ehhh ...a plotkara czeka . no nic ¿yczê powodzenia  :)"
"220","czas przeniesc sie w chmure, wiecie ze mamy juz 2012, prawda?"
"221","¯eby tylko szybko sie z tym uporali Sons of Anarchy czeka xD"
"222","Noooooo ja chcê tu cisn¹æ z pretty little liars :>"
"223","zrobcie cos pleas:/"
"224","plotkara czeka;O"
"225","aaaaa Gotowe na Wszystko mnie wzywaja !"
"226","Jutro czeka na mni8e nowy odcinke Glee;D I mam nadziejê do tego czasu wszystko bêdzie w porz¹dku;]"
"227","hehehe to wlasnie jest uzaleznienie :))"
"228","czekamy :D"
"229","moze najwyzsza pora pomyslec nad lepszym hostingiem? albo chociaz backupowym hostingiem"
"230","GG i TLG Czekaj¹ :P"
"231","mi juz strona dziala ;)"
"232","dziala dziala:):):"
"233","dzia³a :):)"
"234","cgyba ma radosc byla przedwczesna:(:( znowu siadlo"
"235","a mi dalej nie :("
"236","nie dzia³a ;("
"237","U mnie niestety dalej nie dzia³a:("
"238","To znak ¿e czas zabraæ siê za nauke do sesji!"
"239","no nie³adnie!!"
"240","mi te¿ nie dzia³a -,-"
"241","ile trzeba czekaæ i s¹ ju¿ napisy do plotkary i pretty litle liars"
"242","bez iitv.info to jak bez rêki. ;("
"243","once upon a time chce ;<"
"244","w³aœnie ile jeszcze trzeba czekaæ :("
"245","ile jeszcze?? bo akurat na dziœ zaplanowa³am sobie maraton serialowy:/"
"246","ponad miesi¹c czeka³am na nowy odcinek plotkary i jak w koñcu moge go obej¿eæ to strona nie dzia³a -,-"
"247","buuuu"
"248","bêdzie jeszcze dzisiaj w ogóle dostêpna strona ?"
"249","ja te¿  Once... :) ale jeszcze Chirurgów :("
"250","mam nadzieje ze dzisiaj :/"
"251","jak tam sprawa wygl¹da :>? jakieœ wieœci co siê sta³o :D?"
"252","u mnie tez :P"
"253","Ja  chce Plotkarê  :)"
"254","Ci¹gle lipa"
"255","dziêki za informacjê."
"256","naprawcie usterkê bo œwiata wed³ug Bundych nie mogê kontynuowaæ przed zaœniêciem"
"257","wczoraj wieczorem sie coœ dzia³o i dzis to samo nie uruchamia sie ????"
"258","teraz ju¿ wiem, ¿e jestem od Was uzale¿niony... :P"
"259","Czasem pojawiaj¹ siê reklamy bez \krzy¿yka\"" których nie da siê zamkn¹æ, jedynym sposobem który u mnie dzia³a jest po prostu odœwie¿enie strony... i nadzieja, ¿e trafi siê na inn¹ reklamê."""
"260","A czemu tak jest ze obejze 20 min Gotowych na wszystko i mi wyskakuje ze juz obejzalam 72min....cos zwalona jest mega ta strona...:/"
"261","3mam qciookie..."
"262","oo nieeee... czyli trzeba siê uczyæ"
"263","czemu znowu stronka sie nie laduje? naprawcie to szybko proszeeeeeee4e"
"264","seans -online tez  pad³ : ("
"265",":( Jezzuuuuu minela juz godzina a z ogladania nici :((("
"266","dok³adnie ;-/"
"267","By³o siê uczyæ angielskiego a nie paznokcie na lekcji malowaæ."
"268","Nieeee! chyba bêdê musia³ siê do sesji zacz¹æ uczyæ :'-("
"269","Kurwa ju¿ ¿arcie gotowe Family guy czeka a tu nie ³aduje psia krew "
"270","Mentalista!!!!!!!!!!!!!!!!!! wracaj!!!!!!!!!!!!1"
"271","te¿ tak mam!"
"272","dok³adnie ;/"
"273","ja te¿ chcia³am obejrzeæ GG dzisiaj  i jeszcze PLL a tu pupa.."
"274","Krew mnie zalewa :D"
"275","Mnie te¿ tym bardziej, ¿e zobaczy³am tylko pocz¹tek plotkary.!"
"276","ja równie¿ ;D"
"277","Aa ja chcê plotkarêêê! s¹ napisy?!"
"278","napisy?? agnieszka tu sie wogle strna nie laduje to po co napisy"
"279","Przecie¿ to naprawi¹ w koñcu! A wtedy bêd¹ potrzebne napisy! :D"
"280","¯arcie siê ju¿ skoñczy³o, Family guy, bez niego nie zasnê :D"
"281","Oj tam napisy wa¿ne ¿eby by³o wiadomo co siê dzieje :D"
"282","ohh znowu nie dzia³a :("
"283","uzale¿nieni"
"284","ogl¹da³am kawa³ek i dalej nie wiem"
"285","Alicja Korus jest wszêdzie"
"286","Jak bedzie juz wam dzialac to napiszcie bo krew mnie zalewa gdy tak czekam na Dextera :( "
"287","no kurde, uwa¿nie œledzê co komentujecie.. wiêc uwa¿ajcie"
"288","JESTEM G£ODNA"
"289","ZJAD£ABYM GO£¥BKAAA"
"290","Misfits i plotkara! szybciej naprawiajcie."
"291","moze lody >?"
"292","http://www.serialeonline.pl/plotkara-gossip-girl-online/plotkara-s05e11-eng"
"293","nie, ale galaretk¹ z bit¹ œmietan¹ i owocami bym nie pogardzi³a"
"294","MOZE LODA  / dziêka ju¿ sobie ³aduje taka by³am leiwa ¿e nie szuka³am nawet"
"295","http://familyguy.cartoony.pl/ tutaj s¹ odcinki Family Guy"
"296","to jest wina megavideo,a nie iitv. iitv nie odpowiada za limit czasowy"
"297","Aluta MASZ SKLEP, WIEC RÓB NAPAD :D"
"298","To ogl¹daj na przewijaniu, to mo¿e zdarzysz? ;-)"
"299","mi siê uda³o ca³y obejrzeæ :)"
"300","nie chcê mi siê :C muszê wyjœæ z domu, zejœæ po schodach, iœæ kawa³ek i  otworzyæ dwie pary drzwi :< ZA DALEKO"
"301","kolejny odcinek, a tu alles ist kaputt :-("
"302","dobra Ala skoñcz"
"303","ZRÓB DZIURE W ŒCIANIE  ALBO PODKOP"
"304","NIE"
"305","idê jeœæ :/"
"306","Przecie¿ fina³ Dextera ju¿ by³ :P"
"307","... to nie znaczy ze obejrzalem juz wszystkie odcinki :D ja niedawno zaczalem :P"
"308","rany... uzale¿niacie od siebie ludzi a teraz taki nag³y przymusowy odwyk?! nie... no jakiœ horror! :P "
"309","Ja to wogule nie moge popatrzec bo mi sie na wlacza :( Chece platkere :(( Naprawcie to szybkooo "
"310","d³ugo jeszcze?"
"311","jezeli u¿ywacie chrome to prawym prziciskiem zbadaj element i znajdzie kod html odpowiedzialny za reklame i go skasujcie"
"312","dok³adnie...ja mam dzisiaj wolny wieczór...specjalnie na seans...no proszê naprawcie..."
"313","moi zdaniem iitv podjê³o stanowcze kroki w celu ocalenia losu wielu polskich studentów i zmuszenia ichtym samym do nauki do sesji. Sprytnie;)"
"314","Polecam jak ktoœ chce ogl¹daæ South Park, Family Guy, American Dad czy inne kreskówki http://cartoony.pl/"
"315","chuck! [*]"
"316","Coœ w tym jest ;p"
"317","Naszczêœcie Plotkarê zd¹¿y³am poogl¹daæ:), ale HIMYM ju¿ nie :( Noc z TV blee ;("
"318","ja chce Dextera!"
"319","u Nas dalej nie dzia³a"
"320","B£AGAM NAPRAWCIE TO !!!"
"321","ja jestem dopiero w po³owie czwartego sezonu :-D siedzê, czekam i nie mogê sobie znaleŸæ miejsca. litoœci!!!!!!!!!!!!!!!!!!!!"
"322","Niestety ja równie¿ ;/"
"323","koniec jest druzgoczacy :("
"324","jeœli limit by³ ju¿ wczeœniej u¿yty to automatycznie (mimo ¿e ogl¹dasz coœ innego) pozostaje ci tyle ile jeszcze nie wykorzysta³aœ z tych 72 minut"
"325","no i coœ siê nie uda³o to naprawianie.."
"326","dziœ leci w usa chyba wiêc pewnie kilka dni;]"
"327","Dzieki za wszystkie podpowiedzi, sprawdzilam, nie dzialaja. Dawida pomysl jeszcze nadzieja. Na megavideo takie cuda. Moze z czasem przejdzie...."
"328","Bida :( znowu nie bedzie czego do poduszki ogl¹daæ:("
"329","no i co bedzie dzis dzialac czy nie? "
"330","Plotkaaaaraaaa !"
"331","Wiecie, czemu nie dzia³a? Bo Matki za d³ugo nie by³o :>"
"332",";((((((( nieeeeeeee"
"333","No i jak ?? "
"334","nie dzia³a :/ "
"335","plotkara<3"
"336","polecam breaking bad :D "
"337","Nie lubiê tego :( CZEKAMY!"
"338","i znowu to samo!!!!!nie no!!!!halo naprawic to bo umre z nudow!!"
"339","nie dziala!!!!!!aaaaaaaaaaa "
"340","widze ze wszyscy zdesperowani.... "
"341","kurcze widac ze nie tylko mi padl diler na serialowe narkotyki :D "
"342","WTF??? "
"343","koniec swiata zaczeto od iitv :P "
"344","tego sezonu czy w ogóle???????????????????????????????"
"345","tego sezony"
"346","bez iitv jestem na g³odzie"
"347","krwi :D"
"348","nieeeeeeeeeeeeee, nie pisz, nie odpowiadaj na moje pytanie!!!!!!!!!!!! zaczekam, mo¿e naprawi¹"
"349","co?"
"350","hahah trolololololololololololololoololololoollo"
"351","koniec œwiat:( same nowinki sa......ejjj mam do³a:( plotkara!! gotowe na wszystko!!! abuuuu:("
"352","wtf!!!!!????? "
"353","Ufff... ju¿ myœla³am ¿e tylko mój komputer wariuje i próbuje mnie zmusiæ do nauki! Ale z tego co widzê awaria nie tylko u mnie :D"
"354","Juz drugi dzien z rzedu... Bardzo lubie te stronke, no ale dzisiaj spedze wieczor z konkurencja - http://www.kinomaniak.tv"
"355","a trzeba siê logowaæ albo wys³aæ esemes za milion dolarów?"
"356","¿ycie mi przecieka przez palce-od godziny tylko odœwie¿am i nic. kaman, naprawcie!"
"357","a ja tu na \jak pozna³emw wasz¹ matkê czekam :P"""
"358","http://www.megavideo.com/?v=KM99M8E2 dla wszystkich zdesperowanych nie dzia³aj¹cej chwilowo naszej ulubionej strony link z megawideo Gotowe na wszystko nowy odcinek:) oraz link do plotkary wersji angielskiej:) http://www.megavideo.com/?v=NP876X3T"
"359","Ja odpalilem \Przyjaciol\"" bez problemow bez zadnych udziwnien ;)"""
"360","kiedy strona zacznie dzia³aæ?? "
"361","nie usnê dzisiaj bez simpsonów buuu :("
"362","O NIE! Sesja siê zbli¿a a ii.tv nie dzia³a! Có¿ ja biedna pocznê. "
"363","no coz Black Mirror i Sherlock musi poczekac (o_O\)"""
"364","ja chce HIMYM !! ;("
"365","dzis to juz raczej nic nie zrobia pozno jest mam nadzieje ze jutro bedzie dzialac. pozdrawiam wszystkich"
"366","wezcie sie do roboty i zrobcie cos z Ta strona bo juz nie mam sil bzykac, chcialbym cos ogladnac, ratunku "
"367","zgadzam siê!!!"
"368","bêdê p³akaæ.  "
"369","FOCH!!!!! "
"370","Co siê dzieje tyle fanów strony chcecie zdenerwowaæ>>>ja chcê desperatki!!!"
