"TvPInfo";"WpPl";"WprostPl";"OnetPl";"NewsweekPl";"Tvn24Pl";"NatematPl";"GazetaPl";"DziennikPl";"WyborczaPl";"date";"surname"
0;0.1667;0.2308;0.2222;0.25;0.0909;0.3077;0.2222;0.1818;0.6;2015-03-25;duda
0;0;0;0.1111;0.0833;0;0;0;0;0;2015-03-25;ogorek
0;0;0;0.1111;0;0.0606;0.1154;0.1111;0;0;2015-03-25;korwin
0;0.0833;0.0769;0;0.25;0;0.0769;0;0;0;2015-03-25;kukiz
0;0;0.0769;0;0;0;0;0;0;0;2015-03-25;jarubas
0;0;0.0769;0;0.0833;0.1515;0.0769;0.2222;0;0;2015-03-25;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-25;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-25;braun
0;0;0;0;0;0;0;0;0;0;2015-03-25;tanajno
0;0.3333;0.2143;0.2;0;0;0.2;0;0.2857;0;2015-03-26;komorowski
0;0.1111;0.1429;0;0.1667;0;0.4667;1;0.4286;0.25;2015-03-26;duda
0;0.1111;0;0.2;0;0;0;0;0;0;2015-03-26;ogorek
0;0;0.0714;0.2;0;0;0;0;0;0.25;2015-03-26;korwin
0;0;0;0;0;0;0;0;0;0.25;2015-03-26;kukiz
0;0;0;0;0;0;0;0;0;0;2015-03-26;jarubas
0;0;0.0714;0;0;0.1304;0;0;0;0;2015-03-26;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-26;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-26;braun
0;0;0;0;0;0;0;0;0;0;2015-03-26;tanajno
0;0.2857;0.4667;0.1667;0;0.2143;0.2778;0.25;0;0;2015-03-27;komorowski
0.4;0.2857;0.3333;0.1667;0;0.25;0.3889;0.25;0.3333;0.625;2015-03-27;duda
0;0;0;0;0;0;0;0;0;0;2015-03-27;ogorek
0;0;0;0.1667;0;0;0;0;0;0.125;2015-03-27;korwin
0;0;0;0;0;0;0;0;0;0.125;2015-03-27;kukiz
0;0;0;0;0;0;0;0;0;0;2015-03-27;jarubas
0;0;0;0;0;0;0;0;0;0;2015-03-27;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-27;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-27;braun
0;0;0;0;0;0;0;0;0;0;2015-03-27;tanajno
0;0.1429;0.1818;0.4;NA;0.4;0.3333;0.1111;0.6667;0.1667;2015-03-28;komorowski
0.1667;0.1429;0.2727;0.2;NA;0.4;0.1905;0.3333;0.3333;0.6667;2015-03-28;duda
0;0.2857;0;0.2;NA;0;0.0476;0;0;0;2015-03-28;ogorek
0.1667;0.2857;0;0;NA;0.2;0.0476;0;0.1667;0.1667;2015-03-28;korwin
0;0;0;0;NA;0;0;0;0;0;2015-03-28;kukiz
0.1667;0;0.0909;0.2;NA;0;0.0476;0.1111;0;0;2015-03-28;jarubas
0.1667;0.1429;0.1818;0;NA;0.2;0.0476;0.2222;0;0;2015-03-28;palikot
0;0;0;0;NA;0;0;0;0;0;2015-03-28;wilk
0;0;0;0;NA;0;0;0;0;0;2015-03-28;braun
0;0;0;0;NA;0;0;0;0;0;2015-03-28;tanajno
0.1111;0.1667;0.0833;0;0.5;0.381;0.2;0.5;0.4286;0.4;2015-03-29;komorowski
0.1111;0.1667;0.3333;0.5;0;0.2857;0.28;0.1667;0.4286;0.4;2015-03-29;duda
0.2222;0.1667;0;0.5;0;0;0.04;0.1667;0;0;2015-03-29;ogorek
0;0;0;0;0;0.1429;0.12;0.1667;0;0.2;2015-03-29;korwin
0;0;0;0;0;0;0.04;0.1667;0;0;2015-03-29;kukiz
0;0;0.1667;0;0;0;0;0.3333;0;0;2015-03-29;jarubas
0.1111;0;0.1667;0;0;0.1429;0.04;0.3333;0;0;2015-03-29;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-29;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-29;braun
0;0;0;0;0;0;0;0;0;0;2015-03-29;tanajno
0.1429;0.1667;0.1667;0.5714;0.1429;0.2222;0.2143;0.2;0.375;0.5714;2015-03-30;komorowski
0;0.3333;0.3889;0.5714;0.1429;0.2222;0.2143;0.2;0.375;0.5714;2015-03-30;duda
0.1429;0.1667;0;0;0;0;0.0714;0;0;0.1429;2015-03-30;ogorek
0;0;0;0;0;0;0.0714;0;0;0;2015-03-30;korwin
0;0;0.0556;0;0;0;0.0357;0;0;0;2015-03-30;kukiz
0.1429;0;0.1111;0;0;0;0.0357;0;0;0;2015-03-30;jarubas
0.1429;0;0.1667;0;0;0;0.0714;0.2;0;0.1429;2015-03-30;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-30;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-30;braun
0;0;0;0;0;0;0;0;0;0;2015-03-30;tanajno
0.2727;0.0833;0.3846;0.5;0.3333;0.1154;0.1333;0.3333;0.2;0.5714;2015-03-31;komorowski
0.0909;0.1667;0.2308;0.5;0.3333;0.3846;0.3333;0.3333;0.3;0.4286;2015-03-31;duda
0.0909;0.3333;0;0.1667;0;0;0.0667;0;0;0.1429;2015-03-31;ogorek
0;0;0.0769;0;0;0;0;0;0;0;2015-03-31;korwin
0;0;0.0769;0;0;0;0;0;0;0;2015-03-31;kukiz
0;0;0.0769;0;0;0;0;0;0;0.1429;2015-03-31;jarubas
0.0909;0;0.1538;0;0;0;0;0.1667;0;0.1429;2015-03-31;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-31;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-31;braun
0;0;0;0;0;0;0;0;0;0;2015-03-31;tanajno
0;0;0;0;0;0;0.1;0.125;0.1667;0;2015-04-01;komorowski
1;0.6667;0.3333;0.8;0.75;0.4;0.5;0.625;0.3333;0.25;2015-04-01;duda
0;0;0;0;0;0;0;0;0;0;2015-04-01;ogorek
0;0;0;0;0;0;0;0;0;0;2015-04-01;korwin
0;0;0;0;0;0;0;0;0;0;2015-04-01;kukiz
0;0;0;0;0;0;0;0;0;0;2015-04-01;jarubas
0;0;0;0;0;0.05;0.2;0.125;0;0;2015-04-01;palikot
0;0;0;0;0;0;0;0;0;0;2015-04-01;wilk
0;0;0;0;0;0;0;0;0;0;2015-04-01;braun
0;0;0;0;0;0;0;0;0;0;2015-04-01;tanajno
0;0;0.2727;0;0;0.1562;0.1379;0.25;0.2;0.1111;2015-04-02;komorowski
0.5;0.1429;0.4545;0.25;0.6667;0.3125;0.3793;0.25;0;0.2222;2015-04-02;duda
0;0.1429;0;0;0;0;0;0;0;0;2015-04-02;ogorek
0;0;0;0;0;0;0;0;0;0;2015-04-02;korwin
0;0.4286;0;0;0;0;0.1379;0.25;0;0.1111;2015-04-02;kukiz
0;0;0;0;0;0;0;0;0;0;2015-04-02;jarubas
0;0;0;0;0;0.2188;0.2414;0;0;0;2015-04-02;palikot
0;0;0;0;0;0;0;0;0;0;2015-04-02;wilk
0;0;0;0;0;0;0;0;0;0;2015-04-02;braun
0;0;0;0;0;0;0;0;0;0;2015-04-02;tanajno
0;0.3333;0.8;0.6667;0;0.1034;0.1333;0;0.4;0.5;2015-04-03;komorowski
0;0;0.2;0;0;0.2069;0.4;0.25;0;0;2015-04-03;duda
0;0;0;0;0;0;0;0;0;0;2015-04-03;ogorek
0;0.3333;0;0;0;0;0;0;0;0;2015-04-03;korwin
0;0.3333;0;0;0;0.2069;0.2;0.5;0;0;2015-04-03;kukiz
0;0;0;0;0;0;0;0;0;0;2015-04-03;jarubas
0;0;0;0;0;0;0.0667;0;0;0;2015-04-03;palikot
0;0;0;0;0;0;0;0;0;0;2015-04-03;wilk
0;0;0;0;0;0;0;0;0;0;2015-04-03;braun
0;0;0;0;0;0;0.1333;0;0;0;2015-04-03;tanajno
0;0;0.2857;0;0;0.2;0.0769;0;0;0;2015-04-04;komorowski
0;0;0.1429;0;0;0.4;0.2308;0.2;0;0;2015-04-04;duda
0;0;0;0;0;0;0;0;0;0;2015-04-04;ogorek
0;0;0.1429;0;0;0;0;0;0;0;2015-04-04;korwin
0;0;0;1;0;0;0.2308;0.4;0;0;2015-04-04;kukiz
0;0;0;0;0;0;0;0;0;0;2015-04-04;jarubas
0;0;0;0;0;0;0.0769;0;0;0;2015-04-04;palikot
0;0;0;0;0;0;0;0;0;0;2015-04-04;wilk
0;0;0;0;0;0;0;0;0;0;2015-04-04;braun
0;0;0;0;0;0;0.0769;0;0;0;2015-04-04;tanajno
0;NA;0.4444;0;0;0;0;0;0;0;2015-04-05;komorowski
0;NA;0.1111;0.5;0;0.2143;0.3571;0;0;0.5;2015-04-05;duda
0;NA;0;0;0;0;0;0;0;0;2015-04-05;ogorek
0;NA;0.1111;0;0;0;0;0;0;0;2015-04-05;korwin
0;NA;0;0.5;0;0.2857;0.2143;1;0;0;2015-04-05;kukiz
0;NA;0;0;0;0;0;0;0;0;2015-04-05;jarubas
0;NA;0;0;0;0;0.0714;0;0;0;2015-04-05;palikot
0;NA;0;0;0;0;0;0;0;0;2015-04-05;wilk
0;NA;0;0;0;0;0;0;0;0;2015-04-05;braun
0;NA;0;0;0;0;0;0;0;0;2015-04-05;tanajno
0.6667;0;0.75;0;0;0;0.4286;0.3333;0.6667;0.5;2015-04-06;komorowski
0;0;0.25;0;0;0;0.4286;0.3333;0;0.5;2015-04-06;duda
0;0;0;0;0;0;0;0;0;0;2015-04-06;ogorek
0;0;0;0;0;0;0;0;0;0;2015-04-06;korwin
0;0;0;0;0;0;0.1429;0;0;0;2015-04-06;kukiz
0;0;0;0;0;0;0;0;0;0;2015-04-06;jarubas
0;0;0;0;0;0;0;0;0;0;2015-04-06;palikot
0;0;0;0;0;0;0;0;0;0;2015-04-06;wilk
0;0;0;0;0;0;0;0;0;0;2015-04-06;braun
0;0;0;0;0;0;0;0;0;0;2015-04-06;tanajno
0;0;0.3333;0;0.0833;0.2;0.3333;0.1667;0.4;0.125;2015-04-07;komorowski
0;0;0.5;0.6667;0;0.0667;0.5333;0.8333;0.6;0.25;2015-04-07;duda
0;0;0;0;0;0;0;0;0;0;2015-04-07;ogorek
0;0;0;0;0;0;0;0;0;0;2015-04-07;korwin
0;0;0;0;0;0;0;0;0;0;2015-04-07;kukiz
0;0.1667;0;0;0;0;0;0;0;0;2015-04-07;jarubas
0;0;0.1667;0;0;0;0;0;0;0;2015-04-07;palikot
0;0;0;0;0;0;0;0;0;0;2015-04-07;wilk
0;0;0;0;0;0;0;0;0;0;2015-04-07;braun
0;0;0;0;0;0;0;0;0;0;2015-04-07;tanajno
0;0.4;0.3333;0;0.1429;0.3333;0.0769;0;0.1429;0.4286;2015-04-08;komorowski
0.2;0.2;0.6667;0.6667;0;0.3333;0.3077;0.5;0.4286;0.1429;2015-04-08;duda
0;0;0;0;0;0;0.1538;0;0;0;2015-04-08;ogorek
0;0;0;0;0;0;0.0769;0;0;0;2015-04-08;korwin
0;0;0;0;0;0;0;0;0;0;2015-04-08;kukiz
0;0;0;0;0;0;0;0;0;0.1429;2015-04-08;jarubas
0.2;0;0;0;0;0.3333;0.0769;0.5;0.4286;0;2015-04-08;palikot
0;0;0;0;0;0;0;0;0;0;2015-04-08;wilk
0;0;0;0;0;0;0;0;0;0;2015-04-08;braun
0;0;0;0;0;0;0;0;0;0;2015-04-08;tanajno
